# Bun functions whose exception behavior differs from what their signature implies:
# a function that takes a JSGlobalObject* or ThrowScope& but cannot throw, one with no scope
# of its own that passes the caller's state through, or the reverse. Calls across translation
# units are classified from these rows; the README explains the convention and the columns.
# Generated by scripts/jsc-exception-lint/run.ts --update-summaries. Do not edit.
# mangled name, qualified name/arity, kind, exit states, verifies at entry
BuildMessagePrototype__notesSetCachedValue	WebCore::BuildMessagePrototype__notesSetCachedValue/3	nothrow	1	0
BuildMessagePrototype__positionGetCachedValue	WebCore::BuildMessagePrototype__positionGetCachedValue/1	nothrow	1	0
BuildMessagePrototype__positionSetCachedValue	WebCore::BuildMessagePrototype__positionSetCachedValue/3	nothrow	1	0
BuildMessage__create	WebCore::BuildMessage__create/2	nothrow	1	0
BuildMessage__dangerouslySetPtr	WebCore::BuildMessage__dangerouslySetPtr/2	nothrow	1	0
BuildMessage__fromJS	WebCore::BuildMessage__fromJS/1	nothrow	1	0
BuildMessage__fromJSDirect	WebCore::BuildMessage__fromJSDirect/1	nothrow	1	0
BuildMessage__getConstructor	WebCore::BuildMessage__getConstructor/1	nothrow	1	0
BunDebugger__willHotReload	Bun::BunDebugger__willHotReload/0	nothrow	1	0
BunMarkdownMeta__createCell	BunMarkdownMeta__createCell/2	nothrow	1	0
BunMarkdownMeta__createLink	BunMarkdownMeta__createLink/3	nothrow	1	0
BunMarkdownMeta__createList	BunMarkdownMeta__createList/4	nothrow	1	0
BunMarkdownMeta__createListItem	BunMarkdownMeta__createListItem/6	nothrow	1	0
BunMarkdownTagStrings__getTagString	BunMarkdownTagStrings__getTagString/2	nothrow	1	0
BunString__createArray	BunString__createArray/3	maythrow	1	1
BunString__createAtom	BunString__createAtom/2	nothrow	1	0
BunString__createExternal	BunString__createExternal/5	nothrow	1	0
BunString__createExternalGloballyAllocatedLatin1	BunString__createExternalGloballyAllocatedLatin1/2	nothrow	1	0
BunString__createExternalGloballyAllocatedUTF16	BunString__createExternalGloballyAllocatedUTF16/2	nothrow	1	0
BunString__createStaticExternal	BunString__createStaticExternal/3	nothrow	1	0
BunString__createStaticExternalLatin1WithHash	BunString__createStaticExternalLatin1WithHash/3	nothrow	1	0
BunString__createStaticExternalUTF16WithHash	BunString__createStaticExternalUTF16WithHash/3	nothrow	1	0
BunString__createUTF8ForJS	BunString__createUTF8ForJS/3	maythrow	1	1
BunString__fromBytes	BunString__fromBytes/2	nothrow	1	0
BunString__fromJS	BunString__fromJS/3	transparent	3	1
BunString__fromLatin1	BunString__fromLatin1/2	nothrow	1	0
BunString__fromLatin1Unitialized	BunString__fromLatin1Unitialized/1	nothrow	1	0
BunString__fromUTF16	BunString__fromUTF16/2	nothrow	1	0
BunString__fromUTF16ToLatin1	BunString__fromUTF16ToLatin1/2	nothrow	1	0
BunString__fromUTF16Unitialized	BunString__fromUTF16Unitialized/1	nothrow	1	0
BunString__fromUTF8	BunString__fromUTF8/2	nothrow	1	0
BunString__makeThreadShareable	Bun::BunString__makeThreadShareable/1	nothrow	1	0
BunString__threadIsolatedCopy	Bun::BunString__threadIsolatedCopy/1	nothrow	1	0
BunString__toErrorInstance	BunString__toErrorInstance/3	nothrow	1	0
BunString__toJS	BunString__toJS/2	maythrow	1	1
